target,title,address,imgUrl,description,latitude,longitude,rating,place_id
coffees,Havana Coffee & Cakes,Hẻm 202 Phan Đình Phùng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOMMkBvo0KEpQbr1mcQwxaDN7oTnA6cZGGiyUwJ=w122-h92-k-no,,11.9490176,108.43722149999999,4.3,ChIJ6VTVq0cTcTEROWxQvIzWp2o
coffees,Highlands Coffee,1 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMzWS5pUlVhLWXl-6MXbdaWNPDIea_nzJIxIw_B=w122-h92-k-no,,11.942618099999999,108.4312046,4.1,ChIJT8U5VGQTcTER1eL0VdkTB-w
coffees,Windmills Coffee,133 Phan Đình Phùng Phường 2 Tp. Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOzVyQ9OjFZGBJdeNV_R89h5LQj_W242QguT-CP=w80-h106-k-no,,11.9449475,108.4345645,4.4,ChIJf5T_QykTcTERO2HRav1iGgw
coffees,Mãi Thanh Xuân coffee,16 Bà Huyện Thanh Quan Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPqnTYcINYKv1xkgrnYVlZwaRvVUma8f1sc4R_0=w122-h92-k-no,,11.9437827,108.45023239999999,4.5,ChIJlYnhl2oTcTERQ-Qh3C0kUMA
coffees,Quán Cà Phê F.Coffee,76-79KQH Nguyễn Công Trứ Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipORhiCJcpAzGpWmDlkxIQzYPJ7y6BWTknbCyLQr=w80-h106-k-no,,11.9545528,108.4326969,4.3,ChIJuRw3ZuUTcTER1SRm6hoAqhI
coffees,Gió Đà Lạt The Coffee,33 Hoàng Hoa Thám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNCPHWdlH2QxpSOu2DJ7t84Pxd9q_Lpw7dX8wqw=w122-h92-k-no,,11.9383682,108.4635038,4,ChIJ56UVqQoTcTERmmfPgUEzzoU
coffees,Milano Coffee,12 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipObSzokyBYsyoUc3qk9nJ92xf6g0HEig-0DAIHf=w80-h106-k-no,,11.943838099999999,108.4329751,3.9,ChIJB4lXBiwTcTER_ndTSJrTPlk
coffees,Coffee Boss,WFW6+CJX Nguyễn Du Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMRrF3Eq-OThuAU2F4JkNnxryhPLMtcqX2snVGM=w80-h142-k-no,,11.9461158,108.461608,4.4,ChIJSy9k2XITcTERGy7FRjynO6s
coffees,Q Coffee Roastery Dalat,305 Đ. Tô Ngọc Vân Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNeGLuT7H6SSV43IwO0FmlVOGeoo_i0kSkH_Sjt=w80-h106-k-no,,11.9496912,108.4334726,4.9,ChIJ-Zqq4qETcTER9NEliMq-Ei0
coffees,Caliente Coffee,14 Đường Phù Đổng Thiên Vương Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNJ_Jts4H_sxvAiP1nB1Ryhh9-VC1DgNVLEdiQ3=w80-h106-k-no,,11.9561225,108.4417321,5,ChIJD2BxansTcTER5NEcnsc58RE
